year,state_name,population,violent_crime,property_crime,crime_rate
2018,Alabama,4887681,25567,138702,2.8377874906320604
2018,Arkansas,3009733,16904,89177,2.9629538567042326
2018,Arizona,7158024,34053,192730,2.6925028471544663
2018,California,39461588,176604,941644,2.3862293630960822
2018,Colorado,5691287,22851,154292,2.7110212505536975
2018,Connecticut,3571520,7485,59356,1.6619254547083595
2018,District of Columbia,701547,6995,30726,4.379749325419395
2018,Delaware,965479,4079,22405,2.320609769865528
2018,Florida,21244317,81980,486017,2.2877506487970405
2018,Georgia,10511131,35619,277803,2.642941087881028
2018,Hawaii,1420593,3622,41027,2.8880192989828894
2018,Iowa,3148618,8303,57024,1.811080289828744
2018,Idaho,1750536,4196,25822,1.4750910578245748
2018,Illinois,12723071,52343,246679,1.9388322206171764
2018,Indiana,6695497,25009,146948,2.194728785630103
2018,Kansas,2911359,12861,77449,2.6602353059172708
2018,Kentucky,4461153,9719,89235,2.000267643813158
2018,Louisiana,4659690,25314,152996,3.2833943888971153
2018,Massachusetts,6882635,23424,87658,1.2736110515812622
2018,Maryland,6035802,28330,122945,2.036928978120886
2018,Maine,1339057,1500,18201,1.3592401219664285
2018,Michigan,9984072,45176,166186,1.6645112334927072
2018,Minnesota,5606249,12403,112186,2.001088428287791
2018,Missouri,6121623,30696,162698,2.6577592249637063
2018,Mississippi,2981020,7929,71701,2.405250551824543
2018,Montana,1060665,4040,26787,2.5254910834240785
2018,North Carolina,10381615,36980,243323,2.34378755135882
2018,North Dakota,758080,2154,15621,2.0606004643309412
2018,Nebraska,1925614,5583,40193,2.087282290220158
2018,New Hampshire,1353465,2404,17201,1.270886206883813
2018,New Jersey,8886025,18536,125155,1.4084475341899219
2018,New Mexico,2092741,17637,70722,3.37939573028865
2018,Nevada,3027341,16715,73998,2.4443232526497676
2018,New York,19530351,68512,281543,1.4415665135767401
2018,Ohio,11676341,34426,257848,2.2082945333645188
2018,Oklahoma,3940235,18701,114395,2.9032532323579683
2018,Oregon,4181886,12146,122401,2.926932967565352
2018,Pennsylvania,12800922,39099,190633,1.4892130426230235
2018,Rhode Island,1058287,2326,17625,1.6654272423265144
2018,South Carolina,5084156,25463,156330,3.0748466412124253
2018,South Dakota,878698,3483,15191,1.728807849795948
2018,Tennessee,6771631,42687,192897,2.848604715761978
2018,Texas,28628666,118197,681143,2.3792341564220982
2018,Utah,3153550,7551,76294,2.419305227442089
